name,transect,elevation,latitude,longitude,distance,longitude_dd,latitude_dd,year
coggrtr1pro56,1,0.793,41.39212998,-71.20436333,67.63950597,-71.34545369444444,41.65591661111111,2016
coggrtr1pro57,1,0.801,41.39213345,-71.20436123,68.81404448,-71.34544786111111,41.65592625,2016
coggrtr1pro58,1,0.836,41.39213687,-71.20435969,69.92842493,-71.34544358333333,41.65593575,2016
coggrtr1pro59,1,0.845,41.39214021,-71.2043577,71.05326594,-71.34543805555556,41.655945027777776,2016
coggrtr1pro60,1,0.877,41.39214326,-71.20435628,72.05046386,-71.34543411111112,41.6559535,2016
coggrtr1pro61,1,0.868,41.39214653,-71.20435551,73.05606659,-71.34543197222222,41.655962583333334,2016
coggrtr1pro62,1,0.9,41.39214954,-71.2043542,74.03397064,-71.34542833333333,41.65597094444445,2016
coggrtr1pro63,1,0.891,41.3921528,-71.20435347,75.03491835,-71.34542630555555,41.65598,2016
coggrtr1pro64,1,0.981,41.39215522,-71.20435353,75.73127366,-71.34542647222223,41.655986722222224,2016
coggrtr1pro65,1,1.036,41.3921578,-71.20435317,76.50603589,-71.34542547222222,41.65599388888889,2016
coggrtr2pro1,2,-0.169,41.39210803,-71.20480908,2.363157838,-71.34669188888888,41.65585563888889,2016
coggrtr2pro2,2,0.154,41.392111,-71.20480524,3.628043096,-71.34668122222222,41.65586388888889,2016
coggrtr2pro3,2,0.426,41.392114050000004,-71.20480167,4.872040221,-71.34667130555556,41.65587236111111,2016
coggrtr2pro4,2,0.485,41.39211685,-71.20479819,6.050838475,-71.34666163888889,41.65588013888889,2016
coggrtr2pro5,2,0.547,41.39211976,-71.20479429,7.320488894,-71.34665080555556,41.655888222222224,2016
coggrtr2pro6,2,0.634,41.39212266,-71.20479072,8.538523747,-71.346640888888885,41.65589627777778,2016
coggrtr2pro7,2,0.754,41.3921255,-71.20478683,9.794424393,-71.34663008333334,41.655904166666666,2016
coggrtr2pro8,2,0.896,41.39212856,-71.20478305,11.07871692,-71.34661958333334,41.655912666666666,2016
coggrtr2pro9,2,1.063,41.39213111,-71.20478011,12.11654533,-71.34661141666666,41.65591975,2016
coggrtr2pro10,2,1.171,41.3921336,-71.20477665,13.22599821,-71.34660180555555,41.655926666666666,2016
coggrtr2pro11,2,1.25,41.39213615,-71.2047739,14.23181946,-71.34659416666666,41.65593375,2016
coggrtr2pro12,2,1.336,41.39213968,-71.2047727,15.21160589,-71.34659083333334,41.65594355555555,2016
coggrtr2pro13,2,1.432,41.3921433,-71.20477044,16.39144105,-71.34658455555555,41.65595361111111,2016
coggrtr2pro14,2,1.364,41.39214699,-71.20476727,17.73191294,-71.34657575,41.65596386111111,2016
coggrtr2pro15,2,1.138,41.3921513,-71.20476437,19.18317371,-71.34656769444445,41.655975833333336,2016
coggrtr2pro16,2,0.731,41.39215377,-71.2047612,20.23609658,-71.3465588888889,41.65598269444445,2016
coggrtr2pro17,2,0.666,41.3921572,-71.20475701,21.66880066,-71.34654725,41.655992222222224,2016
coggrtr2pro18,2,0.644,41.39216044,-71.20475336,22.98028983,-71.34653711111112,41.65600122222222,2016
coggrtr2pro19,2,0.615,41.39216317,-71.20474978,24.15763984,-71.34652716666666,41.65600880555556,2016
coggrtr2pro20,2,0.591,41.39216599,-71.20474627,25.34646093,-71.34651741666667,41.656016638888886,2016
coggrtr2pro21,2,0.6,41.39216884,-71.20474288,26.52338202,-71.346508,41.656024555555554,2016
coggrtr2pro22,2,0.545,41.39217149,-71.20473916,27.70604491,-71.34649766666666,41.65603191666667,2016
coggrtr2pro23,2,0.5,41.3921747,-71.20473519,29.05307993,-71.34648663888889,41.656040833333336,2016
coggrtr2pro24,2,0.498,41.39217811,-71.20473169,30.37995223,-71.34647691666666,41.65605030555555,2016
coggrtr2pro25,2,0.536,41.39218263,-71.20472909,31.83355692,-71.34646969444445,41.65606286111111,2016
coggrtr2pro26,2,0.561,41.39218674,-71.20472523,33.38006155,-71.34645897222222,41.656074277777776,2016
coggrtr2pro27,2,0.551,41.39218985,-71.20472174,34.6327285,-71.34644927777778,41.65608291666667,2016
coggrtr2pro28,2,0.543,41.39219325,-71.20471817,35.96784394,-71.34643936111111,41.656092361111114,2016
coggrtr2pro29,2,0.537,41.39219581,-71.20471542,36.98352783,-71.34643172222222,41.65609947222222,2016
coggrtr2pro30,2,0.542,41.39219925,-71.20471176,38.33973744,-71.34642155555555,41.65610902777778,2016
coggrtr2pro31,2,0.509,41.39220219,-71.20470818,39.56712963,-71.34641161111111,41.65611719444444,2016
coggrtr2pro32,2,0.458,41.39220506,-71.20470429,40.82090639,-71.34640080555556,41.65612516666667,2016
coggrtr2pro33,2,0.437,41.39220839,-71.20470069,42.14421566,-71.34639080555556,41.65613441666667,2016
coggrtr2pro34,2,0.409,41.39221205,-71.20469729,43.5173703,-71.34638136111111,41.65614458333334,2016
coggrtr2pro35,2,0.374,41.39221571,-71.20469423,44.83808603,-71.3463728611111,41.65615475,2016
coggrtr2pro36,2,0.276,41.39221792,-71.20469083,45.86549012,-71.34636341666666,41.65616088888889,2016
coggrtr2pro37,2,0.227,41.39222033,-71.20468864,46.75933528,-71.34635733333333,41.656167583333335,2016
coggrtr2pro38,2,-0.119,41.39222251,-71.20468629,47.62481796,-71.34635080555556,41.65617363888889,2016
coggrtr2pro39,2,0.019,41.39222888,-71.20468289,49.64768392,-71.34634136111112,41.65619133333333,2016
coggrtr2pro40,2,0.255,41.39223038,-71.20467881,50.60091708,-71.34633002777778,41.6561955,2016
coggrtr2pro41,2,0.302,41.39223266,-71.20467616,51.5334044,-71.34632266666667,41.656201833333334,2016
coggrtr2pro42,2,0.354,41.39223493,-71.20467353,52.45999393,-71.34631536111111,41.656208138888886,2016
coggrtr2pro43,2,0.418,41.39223815,-71.20466986,53.76640505,-71.34630516666667,41.65621708333333,2016
coggrtr2pro44,2,0.446,41.392241,-71.2046666,54.92521532,-71.34629611111112,41.656225,2016
coggrtr2pro45,2,0.489,41.3922437,-71.20466343,56.03408341,-71.34628730555555,41.6562325,2016
coggrtr2pro46,2,0.501,41.39224679,-71.20466026,57.23765899,-71.3462785,41.656241083333335,2016
coggrtr2pro47,2,0.522,41.39225023,-71.20465731,58.48952173,-71.34627030555555,41.65625063888889,2016
coggrtr2pro48,2,0.539,41.39225371,-71.20465359,59.86488715,-71.34625997222223,41.656260305555556,2016
coggrtr2pro49,2,0.567,41.39225683,-71.20465056,61.05526439,-71.34625155555555,41.65626897222222,2016
coggrtr2pro50,2,0.585,41.39226022,-71.20464712,62.36796322,-71.346242,41.656278388888886,2016
coggrtr2pro51,2,0.6,41.3922633,-71.20464337,63.65348611,-71.34623158333333,41.656286944444446,2016
coggrtr2pro52,2,0.607,41.3922667,-71.20463964,65.01212097,-71.34622122222223,41.65629638888889,2016
coggrtr2pro53,2,0.618,41.39226985,-71.20463624,66.26292636,-71.34621177777778,41.65630513888889,2016
coggrtr2pro54,2,0.639,41.39227335,-71.20463322,67.54097672,-71.3462033888889,41.65631486111111,2016
coggrtr2pro55,2,0.657,41.39227672,-71.20462977,68.85018027,-71.34619380555556,41.656324222222224,2016
coggrtr2pro56,2,0.692,41.39228033,-71.20462581,70.29203573,-71.34618280555556,41.65633425,2016
coggrtr2pro57,2,0.706,41.39228409,-71.20462141,71.8349126,-71.34617058333333,41.65634469444444,2016
coggrtr2pro58,2,0.711,41.39228749,-71.20461756,73.21052979,-71.34615988888889,41.65635413888889,2016
coggrtr2pro59,2,0.721,41.39229049,-71.20461431,74.40230479,-71.34615086111111,41.65636247222222,2016
coggrtr2pro60,2,0.736,41.39229354,-71.2046109,75.63091651,-71.3461413888889,41.65637094444445,2016
coggrtr2pro61,2,0.756,41.39229662,-71.20460737,76.8858615,-71.34613158333333,41.6563795,2016
coggrtr2pro62,2,0.772,41.39229985,-71.20460361,78.20571985,-71.34612113888889,41.656388472222226,2016
coggrtr2pro63,2,0.788,41.39230339,-71.20460017,79.55756295,-71.34611158333334,41.656398305555555,2016
coggrtr2pro64,2,0.811,41.39230639,-71.20459657,80.7988167,-71.34610158333334,41.65640663888889,2016
coggrtr2pro65,2,0.8,41.39230989,-71.20459398,82.01447093,-71.34609438888889,41.65641636111111,2016
coggrtr2pro66,2,0.817,41.39231255,-71.20459186,82.96287373,-71.3460885,41.65642375,2016
coggrtr2pro67,2,0.826,41.39231614,-71.20458821,84.35381739,-71.34607836111111,41.656433722222225,2016
coggrtr2pro68,2,0.836,41.39231945,-71.20458418,85.73386785,-71.34606716666667,41.65644291666667,2016
coggrtr2pro69,2,0.848,41.39232289,-71.20458001,87.16662814,-71.34605558333334,41.65645247222222,2016
coggrtr2pro70,2,0.858,41.39232563,-71.20457673,88.30105112,-71.34604647222223,41.656460083333336,2016
coggrtr2pro71,2,0.857,41.39232875,-71.20457364,89.49898411,-71.34603788888889,41.65646875,2016
coggrtr2pro72,2,0.847,41.39233158,-71.20456997,90.71333936,-71.34602769444444,41.65647661111111,2016
